type,item,sentence,distractor
"start","start","The next US president will be sworn into office in January 2025.","x-x-x seen OKAY screaming ones mom ditch find prices eye Reached wood."
"she","1","After moving into the Oval Office, one of the first things that she will do is hold a staff briefing.","x-x-x bureau yeah till Owed Growth, grow eat yes enjoy please cent dad holy vs jack lips miss idiot energies."
"he","1","After moving into the Oval Office, one of the first things that he will do is hold a staff briefing.","x-x-x bureau yeah till Owed Growth, grow eat yes enjoy please cent dad holy vs jack lips miss idiot energies."
"they","1","After moving into the Oval Office, one of the first things that they will do is hold a staff briefing.","x-x-x bureau yeah till Owed Growth, grow eat yes enjoy please cent dad holy vs jack lips miss idiot energies."
"she","2","During the inauguration speech, the president will emphasize her commitment to resolve outstanding issues quickly.","x-x-x hear fingerprints wonder, else ourselves hill broadband guess discovered kid wrapped acknowledge stupid wedding."
"he","2","During the inauguration speech, the president will emphasize his commitment to resolve outstanding issues quickly.","x-x-x hear fingerprints wonder, else ourselves hill broadband guess discovered kid wrapped acknowledge stupid wedding."
"they","2","During the inauguration speech, the president will emphasize their commitment to resolve outstanding issues quickly.","x-x-x hear fingerprints wonder, else ourselves hill broadband guess discovered kid wrapped acknowledge stupid wedding."
"she","3","Even before Inauguration Day, the Secret Service will protect the president and her family to ensure their safety.","x-x-x agency Certificates Sir, bag Thinks Profile luck dollars guy conducted sad funny missed am butter crazy lately."
"he","3","Even before Inauguration Day, the Secret Service will protect the president and his family to ensure their safety.","x-x-x agency Certificates Sir, bag Thinks Profile luck dollars guy conducted sad funny missed am butter crazy lately."
"they","3","Even before Inauguration Day, the Secret Service will protect the president and their family to ensure their safety.","x-x-x agency Certificates Sir, bag Thinks Profile luck dollars guy conducted sad funny missed am butter crazy lately."
"she","4","The entire world will be watching the president when she takes the Oath of Office.","x-x-x anyway maybe anti app congress ago democrats lord pre truth fell Blew mid Spread."
"he","4","The entire world will be watching the president when he takes the Oath of Office.","x-x-x anyway maybe anti app congress ago democrats lord pre truth fell Blew mid Spread."
"they","4","The entire world will be watching the president when they take the Oath of Office.","x-x-x anyway maybe anti app congress ago democrats lord pre truth fell Blew mid Spread."
"she","5","Unfortunately, there is no guarantee that the president will deliver on the promises that she made on the campaign trail.","x-x-x march ball hour teenagers eyes rose wondering glad barrier ring guys knocking feet cat lake oh god yourself mines."
"he","5","Unfortunately, there is no guarantee that the president will deliver on the promises that he made on the campaign trail.","x-x-x march ball hour teenagers eyes rose wondering glad barrier ring guys knocking feet cat lake oh god yourself mines."
"they","5","Unfortunately, there is no guarantee that the president will deliver on the promises that they made on the campaign trail.","x-x-x march ball hour teenagers eyes rose wondering glad barrier ring guys knocking feet cat lake oh god yourself mines."
"she","8","As commander in chief, she will be the only person with direct access to the nation's nuclear launch codes.","x-x-x apologize feel weird, hate sale fun wish knew showed sell exists hoping boys bet diabetes letting remind jeans."
"he","8","As commander in chief, he will be the only person with direct access to the nation's nuclear launch codes.","x-x-x apologize feel weird, hate sale fun wish knew showed sell exists hoping boys bet diabetes letting remind jeans."
"they","8","As commander in chief, they will be the only person with direct access to the nation's nuclear launch codes.","x-x-x apologize feel weird, hate sale fun wish knew showed sell exists hoping boys bet diabetes letting remind jeans."
"she","9","The newly elected president will face many challenges, and one of her responsibilities is to defend the U.S. constitution.","x-x-x apart context wonderful goal wall soul capability, firm dog van hair interchangeably ice sun colors gone MET. overwhelming."
"he","9","The newly elected president will face many challenges, and one of his responsibilities is to defend the U.S. constitution.","x-x-x apart context wonderful goal wall soul capability, firm dog van hair interchangeably ice sun colors gone MET. overwhelming."
"they","9","The newly elected president will face many challenges, and one of their responsibilities is to defend the U.S. constitution.","x-x-x apart context wonderful goal wall soul capability, firm dog van hair interchangeably ice sun colors gone MET. overwhelming."
"she","10","The president’s motorcade will be her primary mode of ground transportation while in office.","x-x-x liabilities eastwards fine pro china suppose hung cold cannot pharmaceutical aware cup became."
"he","10","The president’s motorcade will be his primary mode of ground transportation while in office.","x-x-x liabilities eastwards fine pro china suppose hung cold cannot pharmaceutical aware cup became."
"they","10","The president’s motorcade will be their primary mode of ground transportation while in office.","x-x-x liabilities eastwards fine pro china suppose hung cold cannot pharmaceutical aware cup became."
"she","11","Once the general election is over, the president will be followed by the press wherever she goes because the public wants to know what their new president is up to.","x-x-x fact whether somebody fat park, wife yesterday rock skin pictures gun kill knows goodness buy bad edition hurt forget mouth bus cell sold sleep via literally hard fund loss."
"he","11","Once the general election is over, the president will be followed by the press wherever he goes because the public wants to know what their new president is up to.","x-x-x fact whether somebody fat park, wife yesterday rock skin pictures gun kill knows goodness buy bad edition hurt forget mouth bus cell sold sleep via literally hard fund loss."
"they","11","Once the general election is over, the president will be followed by the press wherever they go because the public wants to know what their new president is up to.","x-x-x fact whether somebody fat park, wife yesterday rock skin pictures gun kill knows goodness buy bad edition hurt forget mouth bus cell sold sleep via literally hard fund loss."
"she","12","Air Force One, the aircraft that will transport the president, is well-equipped to guarantee her safety on both domestic and international flights.","x-x-x Worse Sure, bed download gold girl promoting sit describes, gay contraception ask boyfriend tells miller non gift guardian get unfortunately creator."
"he","12","Air Force One, the aircraft that will transport the president, is well-equipped to guarantee his safety on both domestic and international flights.","x-x-x Worse Sure, bed download gold girl promoting sit describes, gay contraception ask boyfriend tells miller non gift guardian get unfortunately creator."
"they","12","Air Force One, the aircraft that will transport the president, is well-equipped to guarantee their safety on both domestic and international flights.","x-x-x Worse Sure, bed download gold girl promoting sit describes, gay contraception ask boyfriend tells miller non gift guardian get unfortunately creator."